id,set_id,pair,eq_dt,eq_length,eq_name,pga,scale_factor
1,1,1,0.02,1050,RSN139_TABAS_DAY-L1,0.3238904,1.7958888
2,1,2,0.02,1050,RSN139_TABAS_DAY-T1,0.409375,1.7958888
3,2,1,0.01,5435,RSN15_KERN_TAF021,0.1588854,2.719098
4,2,2,0.01,5437,RSN15_KERN_TAF111,0.1802857,2.719098
5,3,1,0.005,5999,RSN230_MAMMOTH.I_I-CVK090,0.4194571,1.8512208
6,3,2,0.005,5999,RSN230_MAMMOTH.I_I-CVK180,0.4424303,1.8512208
7,4,1,0.0024,14672,RSN289_ITALY_A-CTR000,0.1264284,1.935576
8,4,2,0.0024,14672,RSN289_ITALY_A-CTR270,0.1363679,1.935576
9,5,1,0.0024,16392,RSN292_ITALY_A-STU000,0.2266578,1.1417184
10,5,2,0.0024,16392,RSN292_ITALY_A-STU270,0.320522,1.1417184
11,6,1,0.01,4132,RSN313_CORINTH_COR--L,0.236771,1.7204076
12,6,2,0.01,4094,RSN313_CORINTH_COR--T,0.2964422,1.7204076
13,7,1,0.0025,4113,RSN495_NAHANNI_S1010,1.107881,1.4630616
14,7,2,0.0025,4113,RSN495_NAHANNI_S1280,1.200681,1.4630616
15,8,1,0.005,7999,RSN548_CHALFANT.A_A-BEN270,0.2093485,2.6771292
16,8,2,0.005,7999,RSN548_CHALFANT.A_A-BEN360,0.1785149,2.6771292
17,9,1,0.0024,12188,RSN564_GREECE_H-KAL-NS,0.2385868,1.8209448
18,9,2,0.0024,12241,RSN564_GREECE_H-KAL-WE,0.2723725,1.8209448
19,10,1,0.02,2467,RSN587_NEWZEAL_A-MAT083,0.2838931,2.2373964
20,10,2,0.02,2467,RSN587_NEWZEAL_A-MAT353,0.240787,2.2373964
21,11,1,0.005,7998,RSN731_LOMAP_A10000,0.1028556,2.4120576
22,11,2,0.005,7998,RSN731_LOMAP_A10090,0.08896829,2.4120576
